,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
未払分配金_up, credit, 未払分配金、投資業, Distributions payable - INV, Distributions payable, 未払分配金,tomato
未払分配金戻入_up, credit, 未払分配金戻入、営業外収益、投資業, Reversal of distributions payable - NOI - INV, Reversal of distributions payable, 未払分配金戻入,tomato
未払収益分配金_up, credit, 未払収益分配金、流動負債、投資運用業, Unpaid dividends-CL-IVT, Unpaid dividends, 未払収益分配金,tomato
未払外国為替_up, credit, 未払外国為替、外国為替、負債の部、銀行業, Foreign bills payable-foreign exchanges-liabilities-BNK, Foreign bills payable, 未払外国為替,tomato
未払役員報酬_up, credit, 未払役員報酬, Remuneration payable for directors (and other officers), Remuneration payable for directors (and other officers), 未払役員報酬,tomato
未払手数料_up, credit, 未払手数料、流動負債、投資運用業, Unpaid commission-CL-IVT, Unpaid commission, 未払手数料,tomato
未払法人税等_up, credit, 未払法人税等, Income taxes payable, Income taxes payable, 未払法人税等,tomato
未払消費税等_up, credit, 未払消費税等, Accrued consumption taxes, Accrued consumption taxes, 未払消費税等,tomato
未払税金_up, credit, 未払税金, Accrued taxes, Accrued taxes, 未払税金,tomato
未払費用_up, credit, 未払費用, Accrued expenses, Accrued expenses, 未払費用,tomato
未払賞与_up, credit, 未払賞与, Accrued bonuses, Accrued bonuses, 未払賞与,tomato
未払配当金_up, credit, 未払配当金, Dividends payable, Dividends payable, 未払配当金,tomato
未払配当金除斥益_up, credit, 未払配当金除斥益、営業外収益, Gain on forfeiture of unclaimed dividends-NOI, Gain on forfeiture of unclaimed dividends, 未払配当金除斥益,tomato
未払酒税_up, credit, 未払酒税, Accrued alcohol tax, Accrued alcohol tax, 未払酒税,tomato
未払金_up, credit, 未払金, Accounts payable-other, Accounts payable - other, 未払金,tomato
未払金及び未払費用_up, credit, 未払金及び未払費用," Accounts payable - other, and accrued expenses"," Accounts payable - other, and accrued expenses", 未払金及び未払費用,tomato
未決済為替借_up, credit, 未決済為替借、その他負債、負債の部、銀行業," Domestic exchange settlement account, credit-other liabilities-liabilities-BNK"," Domestic exchange settlement account, credit", 未決済為替借,tomato
未決済為替貸_up, debit, 未決済為替貸、その他資産、資産の部、銀行業," Domestic exchange settlement account, debit-other assets-assets-BNK"," Domestic exchange settlement account, debit", 未決済為替貸,tomato
未着原材料_up, debit, 未着原材料, Raw materials in transit, Raw materials in transit, 未着原材料,tomato
未着商品_up, debit, 未着商品, Goods in transit, Goods in transit, 未着商品,tomato
本社移転費用_up, debit, 本社移転費用、特別損失, Head office relocation expenses - EL, Head office relocation expenses, 本社移転費用,tomato
本部費_up, debit, 本部費、本来業務事業損益、社会医療法人, Head office expenses-primary-MED, Head office expenses, 本部費,tomato
材料貯蔵品_up, debit, 材料貯蔵品、建設業, Raw materials and supplies-CNS, Raw materials and supplies, 材料貯蔵品,tomato
株主、役員又は従業員からの短期借入金_up, credit, 株主、役員又は従業員からの短期借入金," Short-term borrowings from shareholders, directors (and other officers) or employees"," Short-term borrowings from shareholders, directors (and other officers) or employees", 株主、役員又は従業員からの短期借入金,tomato
株主、役員又は従業員からの長期借入金_up, credit, 株主、役員又は従業員からの長期借入金," Long-term borrowings from shareholders, directors (and other officers) or employees"," Long-term borrowings from shareholders, directors (and other officers) or employees", 株主、役員又は従業員からの長期借入金,tomato
株主、役員又は従業員からの預り金_up, credit, 株主、役員又は従業員からの預り金," Deposits received from shareholders, directors (and other officers) or employees"," Deposits received from shareholders, directors (and other officers) or employees", 株主、役員又は従業員からの預り金,tomato
株主、役員又は従業員に対する短期債権_up, debit, 株主、役員又は従業員に対する短期債権," Short-term claims on shareholders, directors (and other officers) or employees"," Short-term claims on shareholders, directors (and other officers) or employees", 株主、役員又は従業員に対する短期債権,tomato
株主、役員又は従業員に対する短期債権（純額）_up, debit, 株主、役員又は従業員に対する短期債権（純額）," Short-term claims on shareholders, directors (and other officers) or employees, net"," Short-term claims on shareholders, directors (and other officers) or employees, net", 株主、役員又は従業員に対する短期債権（純額）,tomato
株主、役員又は従業員に対する長期貸付金_up, debit, 株主、役員又は従業員に対する長期貸付金," Long-term loans receivable from shareholders, directors (and other officers) or employees"," Long-term loans receivable from shareholders, directors (and other officers) or employees", 株主、役員又は従業員に対する長期貸付金,tomato
株主、役員又は従業員に対する長期貸付金（純額）_up, debit, 株主、役員又は従業員に対する長期貸付金（純額）," Long-term loans receivable from shareholders, directors (and other officers) or employees, net"," Long-term loans receivable from shareholders, directors (and other officers) or employees, net", 株主、役員又は従業員に対する長期貸付金（純額）,tomato
株主優待引当金_up, credit, 株主優待引当金、流動負債, Provision for shareholder benefit program-CL, Provision for shareholder benefit program, 株主優待引当金,tomato
株主優待引当金繰入額_up, debit, 株主優待引当金繰入額、販売費及び一般管理費, Provision for shareholder benefit program - SGA, Provision for shareholder benefit program, 株主優待引当金繰入額,tomato
株券等トレーディング損益_up, credit, 株券等トレーディング損益、営業収益、第一種金融商品取引業, Net trading income from securities-OR-SEC, Net trading income from securities, 株券等トレーディング損益,tomato
株式_up, debit, 株式、資産の部、保険業, Stocks-assets-INS, Stocks, 株式,tomato
株式交付費_up, debit, 株式交付費、繰延資産, Share issuance cost-DA, Share issuance cost, 株式交付費,tomato
株式交付費、営業外費用_up, debit, 株式交付費、営業外費用, Share issuance cost-NOE, Share issuance cost-NOE, 株式交付費、営業外費用,tomato
株式交付費、販売費及び一般管理費_up, debit, 株式交付費、販売費及び一般管理費, Share issuance cost-SGA, Share issuance cost-SGA, 株式交付費、販売費及び一般管理費,tomato
株式交付費償却_up, debit, 株式交付費償却、営業外費用, Amortization of share issuance cost-NOE, Amortization of share issuance cost, 株式交付費償却,tomato
株式公開費用_up, debit, 株式公開費用、営業外費用, Going public expenses-NOE, Going public expenses, 株式公開費用,tomato
株式報酬費用_up, debit, 株式報酬費用、販売費及び一般管理費, Share-based remuneration expenses - SGA, Share-based remuneration expenses, 株式報酬費用,tomato
株式等償却_up, debit, 株式等償却、経常費用、銀行業, Loss on devaluation of equity securities - OE - BNK, Loss on devaluation of equity securities, 株式等償却,tomato
株式等売却損_up, debit, 株式等売却損、経常費用、銀行業, Loss on sales of equity securities - OE - BNK, Loss on sales of equity securities, 株式等売却損,tomato
株式等売却益_up, credit, 株式等売却益、経常収益、銀行業, Gain on sales of equity securities - OI - BNK, Gain on sales of equity securities, 株式等売却益,tomato
株式給付引当金_up, credit, 株式給付引当金、流動負債, Provision for share-based remuneration - CL, Provision for share-based remuneration, 株式給付引当金,tomato
株式給付引当金繰入額_up, debit, 株式給付引当金繰入額、販売費及び一般管理費, Provision for share-based remuneration - SGA, Provision for share-based remuneration, 株式給付引当金繰入額,tomato
核燃料_up, debit, 核燃料、固定資産、電気事業, Nuclear fuel-NCA-ELE, Nuclear fuel, 核燃料,tomato
案内宣伝費_up, debit, 案内宣伝費、営業費、鉄道事業, Advertising expenses-OE-RWY, Advertising expenses, 案内宣伝費,tomato
業務受託手数料_up, credit, 業務受託手数料、営業外収益, Outsourcing service income 2 - NOI, Outsourcing service income, 業務受託手数料,tomato
業務受託料_up, credit, 業務受託料、営業外収益, Outsourcing service income - NOI, Outsourcing service income, 業務受託料,tomato
業務委託費_up, debit, 業務委託費、販売費及び一般管理費, Outsourcing expenses - SGA, Outsourcing expenses, 業務委託費,tomato
業務未払金_up, credit, 業務未払金, Accounts payable-operating-specific, Accounts payable - operating, 業務未払金,tomato
業務設備_up, debit, 業務設備、電気事業固定資産、電気事業, General facilities-NCA-electric-ELE, General facilities, 業務設備,tomato
構築物_up, debit, 構築物, Structures, Structures, 構築物,tomato
構築物（純額）_up, debit, 構築物（純額）," Structures, net"," Structures, net", 構築物（純額）,tomato
標準ラベル（日本語）_up, balance, 冗長ラベル（日本語）, 冗長ラベル（英語）, 標準ラベル（英語）, 標準ラベル（日本語）,tomato
機械、運搬具及び工具器具備品_up, debit, 機械、運搬具及び工具器具備品," Machinery, vehicles, tools, furniture and fixtures"," Machinery, vehicles, tools, furniture and fixtures", 機械、運搬具及び工具器具備品,tomato
機械、運搬具及び工具器具備品（純額）_up, debit, 機械、運搬具及び工具器具備品（純額）," Machinery, vehicles, tools, furniture and fixtures, net"," Machinery, vehicles, tools, furniture and fixtures, net", 機械、運搬具及び工具器具備品（純額）,tomato
機械及び装置_up, debit, 機械及び装置, Machinery and equipment, Machinery and equipment, 機械及び装置,tomato
機械及び装置（純額）_up, debit, 機械及び装置（純額）," Machinery and equipment, net"," Machinery and equipment, net", 機械及び装置（純額）,tomato
機械装置及び運搬具_up, debit, 機械装置及び運搬具," Machinery, equipment and vehicles"," Machinery, equipment and vehicles", 機械装置及び運搬具,tomato
機械装置及び運搬具（純額）_up, debit, 機械装置及び運搬具（純額）," Machinery, equipment and vehicles, net"," Machinery, equipment and vehicles, net", 機械装置及び運搬具（純額）,tomato
機械設備_up, debit, 機械設備、電気通信事業固定資産, Machinery-NCA-telecommunications, Machinery, 機械設備,tomato
機械設備（純額）_up, debit, 機械設備（純額）、電気通信事業固定資産," Machinery, net-NCA-telecommunications"," Machinery, net", 機械設備（純額）,tomato
正味収入保険料_up, credit, 正味収入保険料、経常収益、保険業, Net premiums written-OI-INS, Net premiums written, 正味収入保険料,tomato
正味支払保険金_up, debit, 正味支払保険金、経常費用、保険業, Net claims paid-OE-INS, Net claims paid, 正味支払保険金,tomato
段階取得に係る差損_up, debit, 段階取得に係る差損、特別損失, Loss on step acquisitions-EL, Loss on step acquisitions, 段階取得に係る差損,tomato
段階取得に係る差益_up, credit, 段階取得に係る差益、特別利益, Gain on step acquisitions-EI, Gain on step acquisitions, 段階取得に係る差益,tomato
水利権_up, debit, 水利権, Water right, Water right, 水利権,tomato
水力発電設備_up, debit, 水力発電設備、電気事業固定資産、電気事業, Hydroelectric power production facilities-NCA-electric-ELE, Hydroelectric power production facilities, 水力発電設備,tomato
水力発電費_up, debit, 水力発電費、電気事業営業費用、電気事業, Hydroelectric power production expenses-OE-electric-ELE, Hydroelectric power production expenses, 水力発電費,tomato
水道光熱費_up, debit, 水道光熱費、販売費及び一般管理費, Utilities expenses-SGA, Utilities expenses, 水道光熱費,tomato
水道施設利用権_up, debit, 水道施設利用権, Right to use water facilities, Right to use water facilities, 水道施設利用権,tomato
汽力発電設備_up, debit, 汽力発電設備、電気事業固定資産、電気事業, Thermal power production facilities-NCA-electric-ELE, Thermal power production facilities, 汽力発電設備,tomato
汽力発電費_up, debit, 汽力発電費、電気事業営業費用、電気事業, Thermal power production expenses-OE-electric-ELE, Thermal power production expenses, 汽力発電費,tomato
法人税、住民税及び事業税_up, debit, 法人税、住民税及び事業税, Income taxes-current, Income taxes - current, 法人税、住民税及び事業税,tomato
法人税及び住民税_up, debit, 法人税及び住民税、電気事業, Income taxes-current-ELE, Income taxes - current, 法人税及び住民税,tomato
法人税及び住民税等_up, debit, 法人税及び住民税等、保険業, Income taxes-current-consolidated-INS, Income taxes - current, 法人税及び住民税等,tomato
法人税等_up, debit, 法人税等, Income taxes, Income taxes, 法人税等,tomato
法人税等の更正、決定等による納付税額又は還付税額_up, debit, 法人税等の更正、決定等による納付税額又は還付税額, Income taxes-correction, Income taxes - correction, 法人税等の更正、決定等による納付税額又は還付税額,tomato
法人税等調整額_up, debit, 法人税等調整額, Income taxes-deferred, Income taxes - deferred, 法人税等調整額,tomato
法人税等還付加算金_up, credit, 法人税等還付加算金、営業外収益, Interest on refund of income taxes - NOI, Interest on refund of income taxes, 法人税等還付加算金,tomato
法人税等還付税額_up, debit, 法人税等還付税額、法人税等, Refund of income taxes-income taxes, Refund of income taxes, 法人税等還付税額,tomato
法定福利及び厚生費_up, debit, 法定福利及び厚生費、販売費及び一般管理費, Legal and other welfare expenses - SGA, Legal and other welfare expenses, 法定福利及び厚生費,tomato
法定福利費_up, debit, 法定福利費、販売費及び一般管理費, Legal welfare expenses-SGA, Legal welfare expenses, 法定福利費,tomato
流通事業収入_up, credit, 流通事業収入、営業収益、付帯事業、鉄道事業, Revenue - merchandise - OR - incidental businesses - RWY, Revenue - merchandise, 流通事業収入,tomato
海外投資等損失準備金_up, credit, 海外投資等損失準備金, Reserve for overseas investment loss, Reserve for overseas investment loss, 海外投資等損失準備金,tomato
海底線使用権_up, debit, 海底線使用権、無形固定資産、電気通信事業固定資産, Right to use submarine line facilities - IA - NCA - telecommunications, Right to use submarine line facilities, 海底線使用権,tomato
海底線設備_up, debit, 海底線設備、電気通信事業固定資産, Submarine line facilities-NCA-telecommunications, Submarine line facilities, 海底線設備,tomato
海底線設備（純額）_up, debit, 海底線設備（純額）、電気通信事業固定資産," Submarine line facilities, net-NCA-telecommunications"," Submarine line facilities, net", 海底線設備（純額）,tomato
海運業収益_up, credit, 海運業収益、海運業, Shipping business revenue-WAT, Shipping business revenue, 海運業収益,tomato
海運業収益及びその他の営業収益_up, credit, 海運業収益及びその他の営業収益、海運業, Shipping business revenue and other operating revenue-WAT, Shipping business revenue and other operating revenue, 海運業収益及びその他の営業収益,tomato
海運業未収金_up, debit, 海運業未収金、流動資産、海運業, Accounts receivable-shipping-CA-WAT, Accounts receivable - shipping, 海運業未収金,tomato
海運業未収金（純額）_up, debit, 海運業未収金（純額）、流動資産、海運業," Accounts receivable-shipping, net-CA-WAT"," Accounts receivable - shipping, net", 海運業未収金（純額）,tomato
海運業未払金_up, credit, 海運業未払金、流動負債、海運業, Accounts payable-shipping-CL-WAT, Accounts payable - shipping, 海運業未払金,tomato
海運業費用_up, debit, 海運業費用、海運業, Shipping business expenses-WAT, Shipping business expenses, 海運業費用,tomato
海運業費用及びその他の営業費用_up, debit, 海運業費用及びその他の営業費用、海運業, Shipping business expenses and other operating expenses-WAT, Shipping business expenses and other operating expenses, 海運業費用及びその他の営業費用,tomato
消耗品費_up, debit, 消耗品費、販売費及び一般管理費, Supplies expenses-SGA, Supplies expenses, 消耗品費,tomato
渇水準備引当金_up, credit, 渇水準備引当金、特別法上の引当金、電気事業," Reserve for water shortage, Reserves under special laws - ELE", Reserve for water shortage, 渇水準備引当金,tomato
渇水準備引当金取崩し（貸方）_up, debit, 渇水準備引当金取崩し（貸方）、電気事業, Reversal of reserve for water shortage - ELE, Reversal of reserve for water shortage, 渇水準備引当金取崩し（貸方）,tomato
渇水準備金引当_up, debit, 渇水準備金引当、電気事業, Provision of reserve for water shortage - ELE, Provision of reserve for water shortage, 渇水準備金引当,tomato
渇水準備金引当又は取崩し_up, debit, 渇水準備金引当又は取崩し、電気事業, Provision or reversal of reserve for water shortage - ELE, Provision or reversal of reserve for water shortage, 渇水準備金引当又は取崩し,tomato
減価償却引当特定資産_up, debit, 減価償却引当特定資産、学校法人, Reserved assets for depreciation-EDU, Reserved assets for depreciation, 減価償却引当特定資産,tomato
減価償却累計額、じゅう器備品、建設保証業_up, debit, 減価償却累計額、じゅう器備品、建設保証業, Accumulated depreciation-furniture and equipment-CNA, Accumulated depreciation-furniture and equipment-CNA, 減価償却累計額、じゅう器備品、建設保証業,tomato
減価償却累計額、その他、有形固定資産_up, debit, 減価償却累計額、その他、有形固定資産, Accumulated depreciation-other-PPE, Accumulated depreciation-other-PPE, 減価償却累計額、その他、有形固定資産,tomato
減価償却累計額、その他の器械備品、社会医療法人_up, debit, 減価償却累計額、その他の器械備品、社会医療法人, Accumulated depreciation-other instrument and equipment-MED, Accumulated depreciation-other instrument and equipment-MED, 減価償却累計額、その他の器械備品、社会医療法人,tomato
減価償却累計額、その他の固定資産、鉄道事業_up, debit, 減価償却累計額、その他の固定資産、鉄道事業, Accumulated depreciation-other NCA-RWY, Accumulated depreciation-other NCA-RWY, 減価償却累計額、その他の固定資産、鉄道事業,tomato
減価償却累計額、その他の機器備品、学校法人_up, debit, 減価償却累計額、その他の機器備品、学校法人, Accumulated depreciation-other instrument and equipment-EDU, Accumulated depreciation-other instrument and equipment-EDU, 減価償却累計額、その他の機器備品、学校法人,tomato
減価償却累計額、その他事業、鉄道事業_up, debit, 減価償却累計額、その他事業、鉄道事業, Accumulated depreciation - other businesses - RWY, Accumulated depreciation - other businesses - RWY, 減価償却累計額、その他事業、鉄道事業,tomato
減価償却累計額、ドック船台_up, debit, 減価償却累計額、ドック船台, Accumulated depreciation - docks and building berths, Accumulated depreciation - docks and building berths, 減価償却累計額、ドック船台,tomato
減価償却累計額、リース資産、有形固定資産_up, debit, 減価償却累計額、リース資産、有形固定資産, Accumulated depreciation-lease assets-PPE, Accumulated depreciation-lease assets-PPE, 減価償却累計額、リース資産、有形固定資産,tomato
減価償却累計額、リース資産、電気通信事業固定資産_up, debit, 減価償却累計額、リース資産、電気通信事業固定資産, Accumulated depreciation-lease assets-NCA-telecommunications, Accumulated depreciation-lease assets-NCA-telecommunications, 減価償却累計額、リース資産、電気通信事業固定資産,tomato
減価償却累計額、不動産事業、鉄道事業_up, debit, 減価償却累計額、不動産事業、鉄道事業, Accumulated depreciation-real estate-RWY, Accumulated depreciation-real estate-RWY, 減価償却累計額、不動産事業、鉄道事業,tomato
減価償却累計額、付帯事業、鉄道事業_up, debit, 減価償却累計額、付帯事業、鉄道事業, Accumulated depreciation - incidental businesses - RWY, Accumulated depreciation - incidental businesses - RWY, 減価償却累計額、付帯事業、鉄道事業,tomato
減価償却累計額、休止設備、電気通信事業固定資産_up, debit, 減価償却累計額、休止設備、電気通信事業固定資産, Accumulated depreciation-inactive-NCA-telecommunications, Accumulated depreciation-inactive-NCA-telecommunications, 減価償却累計額、休止設備、電気通信事業固定資産,tomato
減価償却累計額、信託工具、器具及び備品、投資業_up, debit, 減価償却累計額、信託工具、器具及び備品、投資業," Accumulated depreciation-tools, furniture and fixtures in trust-INV"," Accumulated depreciation-tools, furniture and fixtures in trust-INV", 減価償却累計額、信託工具、器具及び備品、投資業,tomato
減価償却累計額、信託建物、投資業_up, debit, 減価償却累計額、信託建物、投資業, Accumulated depreciation-buildings in trust-INV, Accumulated depreciation-buildings in trust-INV, 減価償却累計額、信託建物、投資業,tomato
減価償却累計額、信託構築物、投資業_up, debit, 減価償却累計額、信託構築物、投資業, Accumulated depreciation-structures in trust-INV, Accumulated depreciation-structures in trust-INV, 減価償却累計額、信託構築物、投資業,tomato
減価償却累計額、信託機械及び装置、投資業_up, debit, 減価償却累計額、信託機械及び装置、投資業, Accumulated depreciation-machinery and equipment in trust-INV, Accumulated depreciation-machinery and equipment in trust-INV, 減価償却累計額、信託機械及び装置、投資業,tomato
減価償却累計額、兼業、鉄道事業_up, debit, 減価償却累計額、兼業、鉄道事業, Accumulated depreciation - sideline businesses - RWY, Accumulated depreciation - sideline businesses - RWY, 減価償却累計額、兼業、鉄道事業,tomato
減価償却累計額、医療用器械備品、社会医療法人_up, debit, 減価償却累計額、医療用器械備品、社会医療法人, Accumulated depreciation-medical instrument and equipment-MED, Accumulated depreciation-medical instrument and equipment-MED, 減価償却累計額、医療用器械備品、社会医療法人,tomato
減価償却累計額、各事業関連固定資産、鉄道事業_up, debit, 減価償却累計額、各事業関連固定資産、鉄道事業, Accumulated depreciation - NCA - shared - RWY, Accumulated depreciation - NCA - shared - RWY, 減価償却累計額、各事業関連固定資産、鉄道事業,tomato
減価償却累計額、器具備品、リース事業_up, debit, 減価償却累計額、器具備品、リース事業, Accumulated depreciation-equipment-LEA, Accumulated depreciation-equipment-LEA, 減価償却累計額、器具備品、リース事業,tomato
減価償却累計額、器具備品、特定金融業_up, debit, 減価償却累計額、器具備品、特定金融業, Accumulated depreciation-equipment-SPF, Accumulated depreciation-equipment-SPF, 減価償却累計額、器具備品、特定金融業,tomato
減価償却累計額、器具及び備品、商品先物取引業_up, debit, 減価償却累計額、器具及び備品、商品先物取引業, Accumulated depreciation-furniture and fixtures-CMD, Accumulated depreciation-furniture and fixtures-CMD, 減価償却累計額、器具及び備品、商品先物取引業,tomato
減価償却累計額、器具及び備品、海運業_up, debit, 減価償却累計額、器具及び備品、海運業, Accumulated depreciation-equipment-WAT, Accumulated depreciation-equipment-WAT, 減価償却累計額、器具及び備品、海運業,tomato
減価償却累計額、土木設備、電気通信事業固定資産_up, debit, 減価償却累計額、土木設備、電気通信事業固定資産, Accumulated depreciation-engineering-NCA-telecommunications, Accumulated depreciation-engineering-NCA-telecommunications, 減価償却累計額、土木設備、電気通信事業固定資産,tomato
減価償却累計額、工具、器具及び備品_up, debit, 減価償却累計額、工具、器具及び備品," Accumulated depreciation-tools, furniture and fixtures"," Accumulated depreciation-tools, furniture and fixtures", 減価償却累計額、工具、器具及び備品,tomato
減価償却累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業," Accumulated depreciation-tools, furniture and fixtures-NCA-affiliated-HWY"," Accumulated depreciation-tools, furniture and fixtures-NCA-affiliated-HWY", 減価償却累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、工具、器具及び備品、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、工具、器具及び備品、関連事業固定資産、高速道路事業," Accumulated depreciation-tools, furniture and fixtures-NCA-related-HWY"," Accumulated depreciation-tools, furniture and fixtures-NCA-related-HWY", 減価償却累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,tomato
減価償却累計額、工具、器具及び備品、電気通信事業固定資産_up, debit, 減価償却累計額、工具、器具及び備品、電気通信事業固定資産," Accumulated depreciation-tools, furniture and fixtures-NCA-telecommunications"," Accumulated depreciation-tools, furniture and fixtures-NCA-telecommunications", 減価償却累計額、工具、器具及び備品、電気通信事業固定資産,tomato
減価償却累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業_up, debit, 減価償却累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業," Accumulated depreciation-tools, furniture and fixtures-highway business-NCA-HWY"," Accumulated depreciation-tools, furniture and fixtures-highway business-NCA-HWY", 減価償却累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,tomato
減価償却累計額、市内線路設備、電気通信事業固定資産_up, debit, 減価償却累計額、市内線路設備、電気通信事業固定資産, Accumulated depreciation-local-NCA-telecommunications, Accumulated depreciation-local-NCA-telecommunications, 減価償却累計額、市内線路設備、電気通信事業固定資産,tomato
減価償却累計額、市外線路設備、電気通信事業固定資産_up, debit, 減価償却累計額、市外線路設備、電気通信事業固定資産, Accumulated depreciation-long-NCA-telecommunications, Accumulated depreciation-long-NCA-telecommunications, 減価償却累計額、市外線路設備、電気通信事業固定資産,tomato
減価償却累計額、建物_up, debit, 減価償却累計額、建物, Accumulated depreciation-buildings, Accumulated depreciation-buildings, 減価償却累計額、建物,tomato
減価償却累計額、建物、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、建物、各事業共用固定資産、高速道路事業, Accumulated depreciation-building-NCA-affiliated-HWY, Accumulated depreciation-building-NCA-affiliated-HWY, 減価償却累計額、建物、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、建物、特定資産、資産流動化業_up, debit, 減価償却累計額、建物、特定資産、資産流動化業, Accumulated depreciation-buildings-specific assets-LIQ, Accumulated depreciation-buildings-specific assets-LIQ, 減価償却累計額、建物、特定資産、資産流動化業,tomato
減価償却累計額、建物、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、建物、関連事業固定資産、高速道路事業, Accumulated depreciation-building-NCA-related-HWY, Accumulated depreciation-building-NCA-related-HWY, 減価償却累計額、建物、関連事業固定資産、高速道路事業,tomato
減価償却累計額、建物、電気通信事業固定資産_up, debit, 減価償却累計額、建物、電気通信事業固定資産, Accumulated depreciation-building-NCA-telecommunications, Accumulated depreciation-building-NCA-telecommunications, 減価償却累計額、建物、電気通信事業固定資産,tomato
減価償却累計額、建物、高速道路事業固定資産、高速道路事業_up, debit, 減価償却累計額、建物、高速道路事業固定資産、高速道路事業, Accumulated depreciation-building-highway business-NCA-HWY, Accumulated depreciation-building-highway business-NCA-HWY, 減価償却累計額、建物、高速道路事業固定資産、高速道路事業,tomato
減価償却累計額、建物及び構築物_up, debit, 減価償却累計額、建物及び構築物, Accumulated depreciation-buildings and structures, Accumulated depreciation-buildings and structures, 減価償却累計額、建物及び構築物,tomato
減価償却累計額、建物附属設備_up, debit, 減価償却累計額、建物附属設備, Accumulated depreciation - facilities attached to buildings, Accumulated depreciation - facilities attached to buildings, 減価償却累計額、建物附属設備,tomato
減価償却累計額、投資その他の資産、一括控除_up, debit, 減価償却累計額、投資その他の資産、一括控除, Accumulated depreciation-IOA-by group, Accumulated depreciation-IOA-by group, 減価償却累計額、投資その他の資産、一括控除,tomato
減価償却累計額、投資不動産_up, debit, 減価償却累計額、投資不動産, Accumulated depreciation - investment property, Accumulated depreciation - investment property, 減価償却累計額、投資不動産,tomato
減価償却累計額、教育研究用機器備品、学校法人_up, debit, 減価償却累計額、教育研究用機器備品、学校法人, Accumulated depreciation-educational research instrument and equipment-EDU, Accumulated depreciation-educational research instrument and equipment-EDU, 減価償却累計額、教育研究用機器備品、学校法人,tomato
減価償却累計額、有形固定資産、一括控除_up, debit, 減価償却累計額、有形固定資産、一括控除, Accumulated depreciation-PPE-by group, Accumulated depreciation-PPE-by group, 減価償却累計額、有形固定資産、一括控除,tomato
減価償却累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業, Accumulated depreciation-PPE-by group-NCA-affiliated-HWY, Accumulated depreciation-PPE-by group-NCA-affiliated-HWY, 減価償却累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業, Accumulated depreciation-PPE-by group-NCA-related-HWY, Accumulated depreciation-PPE-by group-NCA-related-HWY, 減価償却累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,tomato
減価償却累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業_up, debit, 減価償却累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業, Accumulated depreciation-PPE-by group-highway business-NCA-HWY, Accumulated depreciation-PPE-by group-highway business-NCA-HWY, 減価償却累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,tomato
減価償却累計額、有形固定資産、附帯事業固定資産、電気通信事業_up, debit, 減価償却累計額、有形固定資産、附帯事業固定資産、電気通信事業, Accumulated depreciation-PPE-incidental-ELC, Accumulated depreciation-PPE-incidental-ELC, 減価償却累計額、有形固定資産、附帯事業固定資産、電気通信事業,tomato
減価償却累計額、構築物_up, debit, 減価償却累計額、構築物, Accumulated depreciation-structures, Accumulated depreciation-structures, 減価償却累計額、構築物,tomato
減価償却累計額、構築物、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、構築物、各事業共用固定資産、高速道路事業, Accumulated depreciation-structures-NCA-affiliated-HWY, Accumulated depreciation-structures-NCA-affiliated-HWY, 減価償却累計額、構築物、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、構築物、特定資産、資産流動化業_up, debit, 減価償却累計額、構築物、特定資産、資産流動化業, Accumulated depreciation-structures-specific assets-LIQ, Accumulated depreciation-structures-specific assets-LIQ, 減価償却累計額、構築物、特定資産、資産流動化業,tomato
減価償却累計額、構築物、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、構築物、関連事業固定資産、高速道路事業, Accumulated depreciation-structures-NCA-related-HWY, Accumulated depreciation-structures-NCA-related-HWY, 減価償却累計額、構築物、関連事業固定資産、高速道路事業,tomato
減価償却累計額、構築物、電気通信事業固定資産_up, debit, 減価償却累計額、構築物、電気通信事業固定資産, Accumulated depreciation-structures-NCA-telecommunications, Accumulated depreciation-structures-NCA-telecommunications, 減価償却累計額、構築物、電気通信事業固定資産,tomato
